iter	Passed	Remaining
0	5	5815
1	11	5623
2	17	5662
3	22	5608
4	27	5549
5	33	5523
6	38	5484
7	44	5555
8	50	5529
9	55	5513
10	61	5500
11	66	5482
12	71	5457
13	77	5450
14	82	5431
15	88	5428
16	93	5426
17	99	5417
18	104	5409
19	110	5396
20	115	5389
21	121	5379
22	126	5370
23	131	5355
24	137	5347
25	142	5339
26	147	5332
27	153	5329
28	158	5320
29	164	5319
30	169	5313
31	175	5305
32	180	5295
33	186	5286
34	191	5281
35	197	5275
36	202	5278
37	208	5271
38	214	5279
39	220	5285
40	225	5276
41	230	5267
42	236	5259
43	241	5254
44	247	5247
45	252	5242
46	257	5228
47	262	5211
48	267	5199
49	272	5185
50	278	5173
51	283	5161
52	288	5150
53	293	5143
54	298	5131
55	303	5120
56	308	5110
57	314	5101
58	319	5092
59	324	5081
60	329	5073
61	334	5064
62	339	5052
63	344	5045
64	350	5036
65	355	5027
66	360	5017
67	365	5007
68	370	4997
69	375	4988
70	380	4979
71	385	4970
72	390	4963
73	396	4955
74	401	4946
75	406	4939
76	411	4935
77	416	4926
78	421	4917
79	426	4909
80	431	4900
81	436	4891
82	442	4884
83	447	4876
84	452	4869
85	458	4869
86	463	4869
87	469	4867
88	475	4866
89	481	4865
90	487	4866
91	492	4862
92	498	4860
93	504	4859
94	510	4862
95	516	4865
96	522	4864
97	528	4863
98	534	4863
99	540	4862
100	546	4859
101	551	4856
102	557	4855
103	563	4851
104	568	4848
105	575	4856
106	583	4867
107	591	4884
108	598	4890
109	606	4904
110	616	4939
111	624	4948
112	630	4949
113	642	4993
114	663	5105
115	675	5144
116	687	5186
117	697	5217
118	705	5222
119	713	5229
120	720	5236
121	729	5247
122	735	5247
123	742	5245
124	748	5241
125	755	5238
126	762	5241
127	771	5255
128	778	5255
129	785	5256
130	792	5257
131	798	5253
132	805	5250
133	811	5245
134	817	5237
135	823	5233
136	831	5236
137	838	5236
138	845	5236
139	852	5239
140	859	5235
141	866	5236
142	877	5257
143	884	5259
144	892	5262
145	900	5265
146	907	5265
147	914	5264
148	923	5276
149	930	5270
150	935	5260
151	941	5251
152	946	5239
153	951	5227
154	956	5216
155	961	5204
156	967	5194
157	974	5193
158	979	5181
159	984	5169
160	990	5160
161	995	5147
162	1000	5136
163	1005	5126
164	1010	5114
165	1015	5103
166	1021	5093
167	1026	5083
168	1031	5071
169	1036	5061
170	1041	5050
171	1047	5040
172	1052	5029
173	1057	5018
174	1062	5006
175	1067	4996
176	1072	4985
177	1077	4973
178	1082	4963
179	1087	4954
180	1092	4945
181	1098	4935
182	1103	4925
183	1108	4915
184	1113	4905
185	1118	4894
186	1123	4885
187	1128	4875
188	1133	4865
189	1138	4855
190	1143	4845
191	1149	4836
192	1154	4825
193	1159	4816
194	1164	4806
195	1169	4796
196	1174	4787
197	1179	4778
198	1185	4770
199	1190	4762
200	1195	4753
201	1201	4744
202	1206	4735
203	1211	4727
204	1216	4718
205	1221	4709
206	1226	4700
207	1231	4690
208	1237	4682
209	1242	4674
210	1247	4665
211	1252	4656
212	1257	4647
213	1262	4638
214	1268	4630
215	1273	4620
216	1278	4612
217	1283	4603
218	1288	4594
219	1293	4586
220	1298	4577
221	1303	4568
222	1308	4559
223	1313	4551
224	1318	4543
225	1323	4534
226	1329	4525
227	1334	4516
228	1339	4508
229	1344	4500
230	1349	4492
231	1354	4483
232	1359	4475
233	1364	4467
234	1369	4459
235	1375	4452
236	1380	4444
237	1385	4436
238	1390	4427
239	1395	4419
240	1400	4411
241	1406	4404
242	1411	4396
243	1416	4388
244	1421	4380
245	1426	4373
246	1431	4365
247	1437	4357
248	1442	4349
249	1447	4342
250	1452	4334
251	1457	4326
252	1462	4318
253	1467	4311
254	1472	4303
255	1478	4295
256	1483	4287
257	1488	4279
258	1493	4272
259	1498	4264
260	1503	4257
261	1508	4249
262	1513	4242
263	1518	4234
264	1524	4226
265	1528	4219
266	1534	4211
267	1539	4205
268	1544	4197
269	1549	4190
270	1554	4182
271	1560	4175
272	1565	4167
273	1570	4160
274	1575	4153
275	1580	4145
276	1585	4138
277	1590	4131
278	1595	4123
279	1600	4116
280	1606	4109
281	1611	4102
282	1616	4095
283	1621	4087
284	1626	4080
285	1631	4072
286	1636	4065
287	1641	4058
288	1646	4051
289	1652	4044
290	1657	4037
291	1662	4030
292	1667	4024
293	1672	4016
294	1677	4009
295	1682	4002
296	1688	3995
297	1693	3988
298	1698	3980
299	1703	3973
300	1708	3967
301	1713	3959
302	1718	3952
303	1723	3945
304	1728	3938
305	1733	3931
306	1738	3924
307	1743	3917
308	1748	3910
309	1753	3903
310	1758	3896
311	1764	3890
312	1769	3883
313	1774	3876
314	1779	3869
315	1784	3862
316	1789	3855
317	1794	3848
318	1799	3841
319	1804	3835
320	1809	3828
321	1814	3821
322	1820	3814
323	1824	3807
324	1829	3800
325	1835	3794
326	1840	3787
327	1845	3780
328	1850	3774
329	1855	3767
330	1861	3761
331	1867	3757
332	1872	3751
333	1877	3744
334	1883	3738
335	1888	3731
336	1894	3726
337	1900	3721
338	1905	3714
339	1910	3708
340	1915	3701
341	1921	3696
342	1926	3689
343	1931	3682
344	1936	3676
345	1941	3669
346	1946	3663
347	1951	3657
348	1957	3650
349	1962	3644
350	1967	3638
351	1972	3631
352	1978	3625
353	1983	3618
354	1988	3612
355	1993	3606
356	1998	3600
357	2003	3593
358	2009	3587
359	2014	3580
360	2019	3574
361	2024	3567
362	2029	3560
363	2034	3554
364	2039	3547
365	2044	3541
366	2049	3535
367	2054	3528
368	2060	3522
369	2065	3516
370	2070	3510
371	2075	3503
372	2080	3497
373	2085	3491
374	2090	3484
375	2095	3478
376	2101	3472
377	2106	3465
378	2111	3459
379	2116	3452
380	2121	3446
381	2126	3440
382	2131	3433
383	2136	3427
384	2141	3421
385	2146	3414
386	2151	3408
387	2157	3403
388	2163	3397
389	2168	3392
390	2173	3385
391	2178	3379
392	2184	3373
393	2189	3367
394	2194	3360
395	2199	3354
396	2204	3348
397	2209	3342
398	2214	3335
399	2219	3329
400	2224	3323
401	2230	3317
402	2235	3311
403	2240	3304
404	2245	3298
405	2250	3292
406	2255	3286
407	2260	3279
408	2265	3273
409	2270	3267
410	2275	3260
411	2280	3254
412	2285	3248
413	2290	3242
414	2295	3236
415	2301	3230
416	2305	3223
417	2310	3217
418	2316	3211
419	2321	3205
420	2326	3199
421	2331	3192
422	2336	3186
423	2341	3180
424	2346	3174
425	2351	3168
426	2356	3162
427	2361	3156
428	2366	3149
429	2371	3143
430	2376	3137
431	2381	3131
432	2386	3125
433	2391	3119
434	2397	3113
435	2402	3107
436	2407	3101
437	2412	3095
438	2417	3089
439	2422	3083
440	2427	3077
441	2432	3071
442	2437	3065
443	2442	3059
444	2448	3053
445	2453	3047
446	2458	3041
447	2463	3035
448	2468	3029
449	2473	3023
450	2478	3017
451	2484	3011
452	2489	3006
453	2494	3000
454	2499	2994
455	2504	2988
456	2510	2982
457	2515	2976
458	2520	2970
459	2525	2964
460	2530	2958
461	2535	2952
462	2540	2946
463	2545	2940
464	2550	2934
465	2555	2928
466	2560	2922
467	2565	2916
468	2570	2910
469	2575	2904
470	2581	2898
471	2585	2892
472	2590	2886
473	2596	2881
474	2601	2875
475	2606	2869
476	2611	2863
477	2616	2857
478	2621	2851
479	2627	2846
480	2632	2840
481	2637	2834
482	2642	2828
483	2647	2822
484	2652	2816
485	2657	2810
486	2662	2804
487	2667	2798
488	2672	2792
489	2677	2787
490	2682	2781
491	2687	2775
492	2692	2769
493	2698	2763
494	2703	2758
495	2708	2752
496	2713	2746
497	2718	2740
498	2723	2734
499	2728	2728
500	2733	2722
501	2738	2716
502	2743	2710
503	2748	2705
504	2753	2699
505	2758	2693
506	2763	2687
507	2768	2681
508	2773	2675
509	2778	2669
510	2783	2664
511	2788	2658
512	2794	2652
513	2799	2647
514	2804	2641
515	2810	2635
516	2815	2630
517	2820	2624
518	2825	2618
519	2830	2612
520	2835	2607
521	2841	2602
522	2846	2596
523	2851	2590
524	2857	2584
525	2862	2579
526	2868	2574
527	2873	2568
528	2878	2563
529	2883	2557
530	2889	2551
531	2894	2545
532	2899	2540
533	2904	2534
534	2909	2529
535	2914	2523
536	2919	2517
537	2924	2511
538	2929	2505
539	2935	2500
540	2940	2494
541	2945	2488
542	2950	2483
543	2955	2477
544	2960	2471
545	2967	2467
546	2972	2461
547	2977	2455
548	2982	2450
549	2987	2444
550	2993	2439
551	2998	2433
552	3003	2427
553	3008	2422
554	3014	2416
555	3019	2411
556	3024	2405
557	3029	2399
558	3034	2394
559	3040	2388
560	3045	2383
561	3050	2377
562	3055	2371
563	3060	2366
564	3065	2360
565	3071	2354
566	3076	2349
567	3081	2343
568	3086	2338
569	3091	2332
570	3096	2326
571	3101	2321
572	3107	2315
573	3112	2309
574	3117	2303
575	3122	2298
576	3127	2292
577	3133	2287
578	3138	2281
579	3143	2276
580	3148	2270
581	3153	2264
582	3158	2259
583	3163	2253
584	3168	2247
585	3174	2242
586	3179	2236
587	3184	2231
588	3189	2225
589	3195	2220
590	3200	2215
591	3205	2209
592	3211	2204
593	3216	2198
594	3221	2192
595	3226	2187
596	3232	2181
597	3236	2176
598	3243	2171
599	3249	2166
600	3255	2161
601	3260	2155
602	3266	2150
603	3272	2145
604	3277	2139
605	3283	2134
606	3289	2129
607	3295	2124
608	3302	2120
609	3307	2114
610	3313	2109
611	3318	2104
612	3324	2098
613	3330	2093
614	3337	2089
615	3343	2084
616	3349	2079
617	3356	2074
618	3362	2069
619	3368	2064
620	3373	2059
621	3379	2053
622	3384	2048
623	3390	2043
624	3396	2038
625	3402	2032
626	3407	2027
627	3413	2022
628	3418	2016
629	3424	2011
630	3429	2005
631	3435	2000
632	3441	1995
633	3449	1991
634	3455	1986
635	3460	1980
636	3466	1975
637	3471	1969
638	3476	1964
639	3482	1958
640	3487	1953
641	3493	1948
642	3498	1942
643	3505	1937
644	3510	1932
645	3515	1926
646	3521	1921
647	3526	1915
648	3532	1910
649	3538	1905
650	3543	1899
651	3549	1894
652	3554	1888
653	3559	1883
654	3565	1877
655	3570	1872
656	3575	1866
657	3581	1861
658	3586	1855
659	3592	1850
660	3597	1845
661	3603	1839
662	3608	1834
663	3614	1828
664	3620	1823
665	3625	1818
666	3631	1812
667	3637	1807
668	3644	1802
669	3650	1798
670	3658	1793
671	3664	1788
672	3670	1783
673	3677	1778
674	3683	1773
675	3690	1768
676	3696	1763
677	3703	1758
678	3712	1754
679	3719	1750
680	3727	1745
681	3733	1740
682	3740	1736
683	3747	1731
684	3754	1726
685	3760	1721
686	3766	1716
687	3773	1711
688	3780	1706
689	3787	1701
690	3794	1696
691	3801	1691
692	3808	1687
693	3813	1681
694	3820	1676
695	3826	1671
696	3833	1666
697	3840	1661
698	3847	1656
699	3854	1651
700	3860	1646
701	3867	1641
702	3873	1636
703	3879	1631
704	3885	1625
705	3891	1620
706	3896	1615
707	3902	1609
708	3907	1603
709	3912	1598
710	3918	1592
711	3923	1586
712	3928	1581
713	3933	1575
714	3938	1569
715	3943	1564
716	3948	1558
717	3954	1552
718	3959	1547
719	3965	1541
720	3970	1536
721	3975	1530
722	3980	1525
723	3986	1519
724	3991	1514
725	3996	1508
726	4002	1502
727	4007	1497
728	4013	1491
729	4018	1486
730	4023	1480
731	4028	1474
732	4034	1469
733	4039	1463
734	4044	1458
735	4049	1452
736	4055	1447
737	4061	1441
738	4066	1436
739	4071	1430
740	4077	1425
741	4082	1419
742	4087	1413
743	4093	1408
744	4102	1404
745	4108	1399
746	4115	1393
747	4121	1388
748	4126	1382
749	4132	1377
750	4137	1371
751	4142	1366
752	4149	1361
753	4154	1355
754	4159	1349
755	4164	1344
756	4170	1338
757	4175	1333
758	4180	1327
759	4186	1322
760	4191	1316
761	4196	1310
762	4201	1305
763	4207	1299
764	4212	1294
765	4218	1288
766	4223	1283
767	4228	1277
768	4234	1272
769	4240	1266
770	4246	1261
771	4252	1255
772	4257	1250
773	4263	1244
774	4268	1239
775	4275	1234
776	4280	1228
777	4286	1223
778	4292	1217
779	4297	1212
780	4303	1206
781	4308	1201
782	4313	1195
783	4319	1190
784	4324	1184
785	4330	1178
786	4336	1173
787	4341	1167
788	4347	1162
789	4352	1157
790	4357	1151
791	4363	1145
792	4368	1140
793	4373	1134
794	4379	1129
795	4384	1123
796	4389	1118
797	4395	1112
798	4400	1107
799	4406	1101
800	4411	1095
801	4417	1090
802	4422	1084
803	4427	1079
804	4432	1073
805	4438	1068
806	4443	1062
807	4448	1057
808	4454	1051
809	4459	1046
810	4464	1040
811	4469	1034
812	4475	1029
813	4480	1023
814	4486	1018
815	4492	1013
816	4498	1007
817	4504	1002
818	4509	996
819	4515	991
820	4520	985
821	4525	979
822	4530	974
823	4535	968
824	4541	963
825	4546	957
826	4551	952
827	4556	946
828	4562	941
829	4567	935
830	4572	929
831	4577	924
832	4582	918
833	4588	913
834	4593	907
835	4598	902
836	4603	896
837	4609	891
838	4614	885
839	4619	879
840	4624	874
841	4629	868
842	4634	863
843	4639	857
844	4644	851
845	4649	846
846	4654	840
847	4660	835
848	4665	829
849	4670	824
850	4675	818
851	4680	813
852	4686	807
853	4691	801
854	4695	796
855	4701	790
856	4706	785
857	4711	779
858	4716	774
859	4720	768
860	4726	762
861	4730	757
862	4736	751
863	4742	746
864	4748	741
865	4753	735
866	4758	730
867	4763	724
868	4769	718
869	4774	713
870	4779	707
871	4784	702
872	4789	696
873	4794	691
874	4799	685
875	4804	680
876	4810	674
877	4815	669
878	4820	663
879	4825	658
880	4830	652
881	4837	647
882	4842	641
883	4848	636
884	4853	630
885	4858	625
886	4863	619
887	4869	614
888	4874	608
889	4879	603
890	4884	597
891	4889	592
892	4895	586
893	4900	581
894	4905	575
895	4910	569
896	4916	564
897	4921	558
898	4926	553
899	4931	547
900	4937	542
901	4944	537
902	4950	531
903	4956	526
904	4962	520
905	4967	515
906	4973	509
907	4979	504
908	4986	499
909	4992	493
910	5000	488
911	5007	483
912	5014	477
913	5022	472
914	5031	467
915	5038	462
916	5046	456
917	5054	451
918	5062	446
919	5071	440
920	5079	435
921	5087	430
922	5096	425
923	5104	419
924	5112	414
925	5120	409
926	5128	403
927	5136	398
928	5145	393
929	5152	387
930	5160	382
931	5167	377
932	5174	371
933	5181	366
934	5189	360
935	5197	355
936	5203	349
937	5210	344
938	5217	338
939	5225	333
940	5233	328
941	5240	322
942	5248	317
943	5254	311
944	5260	306
945	5267	300
946	5273	295
947	5278	289
948	5284	283
949	5290	278
950	5295	272
951	5301	267
952	5306	261
953	5312	256
954	5317	250
955	5323	245
956	5328	239
957	5334	233
958	5339	228
959	5344	222
960	5350	217
961	5355	211
962	5360	205
963	5366	200
964	5371	194
965	5377	189
966	5382	183
967	5387	178
968	5393	172
969	5398	166
970	5404	161
971	5409	155
972	5415	150
973	5420	144
974	5426	139
975	5431	133
976	5437	127
977	5442	122
978	5448	116
979	5453	111
980	5459	105
981	5464	100
982	5470	94
983	5476	89
984	5481	83
985	5486	77
986	5492	72
987	5497	66
988	5503	61
989	5508	55
990	5514	50
991	5519	44
992	5525	38
993	5530	33
994	5535	27
995	5542	22
996	5548	16
997	5554	11
998	5559	5
999	5565	0
